Ensembl Gene ID	Associated Gene Name	RefSeq mRNA [e.g. NM_001195597]	RefSeq ncRNA [e.g. NR_002834]
ENSMUSG00000062300	Pvrl2	NM_008990	
ENSMUSG00000028127	Abcd3	NM_008991	
ENSMUSG00000029499	Pxmp2	NM_008993	
ENSMUSG00000005069	Pex5	NM_008995	
ENSMUSG00000020149	Rab1	NM_008996	
ENSMUSG00000077450	Rab11b	NM_008997	
ENSMUSG00000034789	Rab24	NM_009000	
ENSMUSG00000031840	Rab3a	NM_009001	
ENSMUSG00000019478	Rab4a	NM_009003	
ENSMUSG00000003779	Kif20a	NM_009004	
ENSMUSG00000079477	Rab7	NM_009005	
ENSMUSG00000024948	Map4k2	NM_009006	
ENSMUSG00000001847	Rac1	NM_009007	
ENSMUSG00000022314	Rad21	NM_009009	
ENSMUSG00000003813	Rad23a	NM_009010	
ENSMUSG00000028426	Rad23b	NM_009011	
ENSMUSG00000020380	Rad50	NM_009012	
ENSMUSG00000030346	Rad51ap1	NM_009013	
ENSMUSG00000062115	Rai1	NM_009021	
ENSMUSG00000013584	Aldh1a2	NM_009022	
ENSMUSG00000002104	Rapsn	NM_009023	
ENSMUSG00000037992	Rara	NM_009024	
ENSMUSG00000031453	Rasa3	NM_009025	
ENSMUSG00000083649	Rasl2-9	NM_009028	
ENSMUSG00000022105	Rb1	NM_009029	
ENSMUSG00000057236	Rbbp4	NM_009030	
ENSMUSG00000031353	Rbbp7	NM_009031	
ENSMUSG00000094936	Rbm4	NM_009032	
ENSMUSG00000037070	Rbmxl1	NM_009033	
ENSMUSG00000005973	Rcn1	NM_009037	
ENSMUSG00000024927	Rela	NM_009045	
ENSMUSG00000000359	Rem1	NM_009047	
ENSMUSG00000019854	Reps1	NM_009048	
ENSMUSG00000050071	Bex1	NM_009052	
ENSMUSG00000025158	Rfng	NM_009053	
ENSMUSG00000021326	Trim27	NM_009054	
ENSMUSG00000031706	Rfx1	NM_009055	
ENSMUSG00000027953	Slc50a1	NM_009057	
ENSMUSG00000041354	Rgl2	NM_009059	
ENSMUSG00000026360	Rgs2	NM_009061	
ENSMUSG00000026678	Rgs5	NM_009063	
ENSMUSG00000024325	Ring1	NM_009066	
ENSMUSG00000024096	Ralbp1	NM_009067	
ENSMUSG00000021408	Ripk1	NM_009068	
ENSMUSG00000034681	Rnps1	NM_009070	
ENSMUSG00000024290	Rock1	NM_009071	
ENSMUSG00000020580	Rock2	NM_009072	
ENSMUSG00000053604	Rpia	NM_009075	
ENSMUSG00000038900	Rpl12	NM_009076	
ENSMUSG00000059070	Rpl18	NM_009077	
ENSMUSG00000028936	Rpl22	NM_009079	
ENSMUSG00000030432	Rpl28	NM_009081	
ENSMUSG00000048758	Rpl29	NM_009082	
ENSMUSG00000058600	Rpl30	NM_009083	
ENSMUSG00000046330	Rpl37a	NM_009084	
ENSMUSG00000067148	Polr1c	NM_009085	
ENSMUSG00000027395	Polr1b	NM_009086	
ENSMUSG00000029642	Polr1d	NM_009087	
ENSMUSG00000049553	Polr1a	NM_009088	
ENSMUSG00000005198	Polr2a	NM_009089	
ENSMUSG00000031783	Polr2c	NM_009090	
ENSMUSG00000063457	Rps15	NM_009091	
ENSMUSG00000061787	Rps17	NM_009092	
ENSMUSG00000034892	Rps29	NM_009093	
ENSMUSG00000031320	Rps4x	NM_009094	
ENSMUSG00000012848	Rps5	NM_009095	
ENSMUSG00000028495	Rps6	NM_009096	
ENSMUSG00000003644	Rps6ka1	NM_009097	
ENSMUSG00000047675	Rps8	NM_009098	
ENSMUSG00000038387	Rras	NM_009101	
ENSMUSG00000030978	Rrm1	NM_009103	
ENSMUSG00000020649	Rrm2	NM_009104	
ENSMUSG00000026727	Rsu1	NM_009105	
ENSMUSG00000041959	S100a10	NM_009112	
ENSMUSG00000042312	S100a13	NM_009113	
ENSMUSG00000039476	Prrx2	NM_009116	
ENSMUSG00000021963	Sap18	NM_009119	
ENSMUSG00000020088	Sar1a	NM_009120	
ENSMUSG00000025283	Sat1	NM_009121	
ENSMUSG00000046876	Atxn1	NM_009124	
ENSMUSG00000042605	Atxn2	NM_009125	
ENSMUSG00000025203	Scd2	NM_009128	
ENSMUSG00000031778	Cx3cl1	NM_009142	
ENSMUSG00000002064	Sdf2	NM_009143	
ENSMUSG00000027996	Sfrp2	NM_009144	
ENSMUSG00000032336	Nptn	NM_009145	
ENSMUSG00000033386	Frrs1	NM_009146	
ENSMUSG00000020986	Sec23a	NM_009147	
ENSMUSG00000029763	Exoc4	NM_009148	
ENSMUSG00000003316	Glg1	NM_009149	
ENSMUSG00000068874	Selenbp1	NM_009150	
ENSMUSG00000028883	Sema3a	NM_009152	
ENSMUSG00000022231	Sema5a	NM_009154	
ENSMUSG00000064373	Sepp1	NM_009155	
ENSMUSG00000041571	Sepw1	NM_009156	
ENSMUSG00000033352	Map2k4	NM_009157	
ENSMUSG00000021134	Srsf5	NM_009159	
ENSMUSG00000020097	Sgpl1	NM_009163	
ENSMUSG00000022436	Sh3bp1	NM_009164	
ENSMUSG00000042541	Shfm1	NM_009169	
ENSMUSG00000020534	Shmt1	NM_009171	
ENSMUSG00000036840	Siah1a	NM_009172	
ENSMUSG00000040749	Siah1b	NM_009173	
ENSMUSG00000036432	Siah2	NM_009174	
ENSMUSG00000013846	St3gal1	NM_009177	
ENSMUSG00000032038	St3gal4	NM_009178	
ENSMUSG00000031749	St3gal2	NM_009179	
ENSMUSG00000028718	Stil	NM_009185	
ENSMUSG00000022858	Tra2b	NM_009186	
ENSMUSG00000024248	Cox7a2l	NM_009187	
ENSMUSG00000031622	Sin3b	NM_009188	
ENSMUSG00000009907	Vps4b	NM_009190	
ENSMUSG00000001829	Clpb	NM_009191	
ENSMUSG00000004642	Slbp	NM_009193	
ENSMUSG00000024597	Slc12a2	NM_009194	
ENSMUSG00000017765	Slc12a4	NM_009195	
ENSMUSG00000032902	Slc16a1	NM_009196	
ENSMUSG00000033965	Slc16a2	NM_009197	
ENSMUSG00000001918	Slc1a5	NM_009201	
ENSMUSG00000018566	Slc2a4	NM_009204	
ENSMUSG00000029141	Slc4a1ap	NM_009206	
ENSMUSG00000028962	Slc4a2	NM_009207	
ENSMUSG00000006576	Slc4a3	NM_009208	
ENSMUSG00000002428	Hltf	NM_009210	
ENSMUSG00000032481	Smarcc1	NM_009211	
ENSMUSG00000019822	Smpd2	NM_009213	
ENSMUSG00000071708	Sms	NM_009214	
ENSMUSG00000025889	Snca	NM_009221	
ENSMUSG00000027287	Snap23	NM_009222	
ENSMUSG00000037972	Snn	NM_009223	
ENSMUSG00000063511	Snrnp70	NM_009224	
ENSMUSG00000027404	Snrpb	NM_009225	
ENSMUSG00000002477	Snrpd1	NM_009226	
ENSMUSG00000090553	Snrpe	NM_009227	
ENSMUSG00000027488	Snta1	NM_009228	
ENSMUSG00000041308	Sntb2	NM_009229	
ENSMUSG00000026600	Soat1	NM_009230	
ENSMUSG00000024241	Sos1	NM_009231	
ENSMUSG00000063632	Sox11	NM_009234	
ENSMUSG00000046470	Sox18	NM_009236	
ENSMUSG00000076431	Sox4	NM_009238	
ENSMUSG00000018593	Sparc	NM_009242	
ENSMUSG00000060147	Serpinb6a	NM_009254	
ENSMUSG00000026249	Serpine2	NM_009255	
ENSMUSG00000020315	Sptbn1	NM_009260	
ENSMUSG00000026915	Strbp	NM_009261	
ENSMUSG00000029304	Spp1	NM_009263	
ENSMUSG00000049091	Sephs2	NM_009266	
ENSMUSG00000021468	Sptlc1	NM_009269	
ENSMUSG00000022351	Sqle	NM_009270	
ENSMUSG00000006442	Srm	NM_009272	
ENSMUSG00000009549	Srp14	NM_009273	
ENSMUSG00000062604	Srpk2	NM_009274	
ENSMUSG00000032553	Srprb	NM_009275	
ENSMUSG00000002014	Ssr4	NM_009279	
ENSMUSG00000061079	Zfp143	NM_009281	
ENSMUSG00000037286	Stag1	NM_009282	
ENSMUSG00000026104	Stat1	NM_009283	
ENSMUSG00000002147	Stat6	NM_009284	
ENSMUSG00000014813	Stc1	NM_009285	
ENSMUSG00000030987	Stim1	NM_009287	
ENSMUSG00000020272	Stk10	NM_009288	
ENSMUSG00000025060	Slk	NM_009289	
ENSMUSG00000030805	Stx4a	NM_009294	
ENSMUSG00000026797	Stxbp1	NM_009295	
ENSMUSG00000020485	Supt4a	NM_009296	
ENSMUSG00000002052	Supt6	NM_009297	
ENSMUSG00000036160	Surf6	NM_009298	
ENSMUSG00000031015	Swap70	NM_009302	
ENSMUSG00000022415	Syngr1	NM_009303	
ENSMUSG00000048277	Syngr2	NM_009304	
ENSMUSG00000036980	Taf6	NM_009315	
ENSMUSG00000028284	Map3k7	NM_009316	
ENSMUSG00000024308	Tapbp	NM_009318	
ENSMUSG00000023051	Tarbp2	NM_009319	
ENSMUSG00000030096	Slc6a6	NM_009320	
ENSMUSG00000042043	Tbca	NM_009321	
ENSMUSG00000059540	Tcea2	NM_009326	
ENSMUSG00000008958	Vps72	NM_009336	
ENSMUSG00000023832	Acat2	NM_009338	
ENSMUSG00000096255	Dynlt1b	NM_009342	
ENSMUSG00000024193	Phf1	NM_009343	
ENSMUSG00000020205	Phlda1	NM_009344	
ENSMUSG00000006281	Tep1	NM_009351	
ENSMUSG00000025925	Terf1	NM_009352	
ENSMUSG00000031921	Terf2	NM_009353	
ENSMUSG00000014748	Tex261	NM_009357	
ENSMUSG00000059409	Ppp2r5d	NM_009358	
ENSMUSG00000090626	Tex9	NM_009359	
ENSMUSG00000003923	Tfam	NM_009360	
ENSMUSG00000038482	Tfdp1	NM_009361	
ENSMUSG00000030782	Tgfb1i1	NM_009365	
ENSMUSG00000022010	Tsc22d1	NM_009366	
ENSMUSG00000039239	Tgfb2	NM_009367	
ENSMUSG00000021253	Tgfb3	NM_009368	
ENSMUSG00000035493	Tgfbi	NM_009369	
ENSMUSG00000007613	Tgfbr1	NM_009370	
ENSMUSG00000032440	Tgfbr2	NM_009371	
ENSMUSG00000047407	Tgif1	NM_009372	
ENSMUSG00000037820	Tgm2	NM_009373	
ENSMUSG00000040040	Ift88	NM_009376	
ENSMUSG00000074743	Thbd	NM_009378	
ENSMUSG00000030846	Tial1	NM_009383	
ENSMUSG00000030516	Tjp1	NM_009386	
ENSMUSG00000025574	Tk1	NM_009387	
ENSMUSG00000021957	Tkt	NM_009388	
ENSMUSG00000029430	Ran	NM_009391	
ENSMUSG00000091898	Tnnc1	NM_009393	
ENSMUSG00000017615	Tnfaip1	NM_009395	
ENSMUSG00000031097	Tnni2	NM_009405	
ENSMUSG00000035458	Tnni3	NM_009406	
ENSMUSG00000070544	Top1	NM_009408	
ENSMUSG00000017485	Top2b	NM_009409	
ENSMUSG00000002814	Top3a	NM_009410	
ENSMUSG00000000296	Tpd52l1	NM_009413	
ENSMUSG00000023456	Tpi1	NM_009415	
ENSMUSG00000028464	Tpm2	NM_009416	
ENSMUSG00000041763	Tpp2	NM_009418	
ENSMUSG00000029344	Tpst2	NM_009419	
ENSMUSG00000026942	Traf2	NM_009422	
ENSMUSG00000017386	Traf4	NM_009423	
ENSMUSG00000027164	Traf6	NM_009424	
ENSMUSG00000037573	Tob1	NM_009427	
ENSMUSG00000005609	Ctr9	NM_009431	
ENSMUSG00000047514	Tspyl1	NM_009433	
ENSMUSG00000044986	Tst	NM_009437	
ENSMUSG00000074129	Rpl13a	NM_009438	
ENSMUSG00000017221	Psmd3	NM_009439	
ENSMUSG00000040785	Ttc3	NM_009441	
ENSMUSG00000026803	Ttf1	NM_009442	
ENSMUSG00000056429	Tgoln1	NM_009443	
ENSMUSG00000038379	Ttk	NM_009445	
ENSMUSG00000026202	Tuba4a	NM_009447	
ENSMUSG00000043091	Tuba1c	NM_009448	
ENSMUSG00000058672	Tubb2a	NM_009450	
ENSMUSG00000062591	Tubb4a	NM_009451	
ENSMUSG00000031370	Zrsr2	NM_009453	
ENSMUSG00000027011	Ube2e3	NM_009454	
ENSMUSG00000021774	Ube2e1	NM_009455	
ENSMUSG00000038965	Ube2l3	NM_009456	
ENSMUSG00000020390	Ube2b	NM_009458	
ENSMUSG00000026021	Sumo1	NM_009460	
ENSMUSG00000027272	Ubr1	NM_009461	
ENSMUSG00000031826	Usp10	NM_009462	
ENSMUSG00000002602	Axl	NM_009465	
ENSMUSG00000029201	Ugdh	NM_009466	
ENSMUSG00000024501	Dpysl3	NM_009468	
ENSMUSG00000029512	Ulk1	NM_009469	
ENSMUSG00000022814	Umps	NM_009471	
ENSMUSG00000060601	Nr1h2	NM_009473	
ENSMUSG00000028684	Urod	NM_009478	
ENSMUSG00000030979	Uros	NM_009479	
ENSMUSG00000026641	Usf1	NM_009480	
ENSMUSG00000031010	Usp9x	NM_009481	
ENSMUSG00000037369	Kdm6a	NM_009483	
ENSMUSG00000068457	Uty	NM_009484	
ENSMUSG00000020894	Vamp2	NM_009497	
ENSMUSG00000028955	Vamp3	NM_009498	
ENSMUSG00000030403	Vasp	NM_009499	
ENSMUSG00000009621	Vav2	NM_009500	
ENSMUSG00000021823	Vcl	NM_009502	
ENSMUSG00000028452	Vcp	NM_009503	
ENSMUSG00000023951	Vegfa	NM_009505	
ENSMUSG00000031520	Vegfc	NM_009506	
ENSMUSG00000033933	Vhl	NM_009507	
ENSMUSG00000052397	Ezr	NM_009510	
ENSMUSG00000031016	Wee1	NM_009516	
ENSMUSG00000027663	Zmat3	NM_009517	
ENSMUSG00000015957	Wnt11	NM_009519	
ENSMUSG00000021994	Wnt5a	NM_009524	
ENSMUSG00000031229	Atrx	NM_009530	
ENSMUSG00000030094	Xpc	NM_009531	
ENSMUSG00000051768	Xrcc1	NM_009532	
ENSMUSG00000026187	Xrcc5	NM_009533	
ENSMUSG00000053110	Yap1	NM_009534	
ENSMUSG00000014932	Yes1	NM_009535	
ENSMUSG00000020849	Ywhae	NM_009536	
ENSMUSG00000021264	Yy1	NM_009537	
ENSMUSG00000019817	Plagl1	NM_009538	
ENSMUSG00000006215	Zbtb17	NM_009541	
ENSMUSG00000055240	Zfp101	NM_009542	
ENSMUSG00000052656	Rnf103	NM_009543	
ENSMUSG00000057895	Zfp105	NM_009544	
ENSMUSG00000000275	Trim25	NM_009546	
ENSMUSG00000049672	Zbtb14	NM_009547	
ENSMUSG00000024750	Zfand5	NM_009551	
ENSMUSG00000038797	Zscan2	NM_009553	
ENSMUSG00000028389	Zfp37	NM_009554	
ENSMUSG00000002617	Zfp40	NM_009555	
ENSMUSG00000051351	Zfp46	NM_009557	
ENSMUSG00000023892	Zfp51	NM_009558	
ENSMUSG00000050605	Zfp61	NM_009561	
ENSMUSG00000046311	Zfp62	NM_009562	
ENSMUSG00000027551	Zfp64	NM_009564	
ENSMUSG00000028042	Zbtb7b	NM_009565	
ENSMUSG00000049577	Zfpm1	NM_009569	
ENSMUSG00000022361	Zhx1	NM_009572	
ENSMUSG00000030393	Zik1	NM_009577	
ENSMUSG00000037434	Slc30a1	NM_009579	
ENSMUSG00000029014	Dnajc2	NM_009584	
ENSMUSG00000031333	Abcb7	NM_009592	
ENSMUSG00000026842	Abl1	NM_009594	
ENSMUSG00000023328	Ache	NM_009599	
ENSMUSG00000041189	Chrnb1	NM_009601	
ENSMUSG00000031972	Acta1	NM_009606	
ENSMUSG00000068614	Actc1	NM_009608	
ENSMUSG00000062825	Actg1	NM_009609	
ENSMUSG00000059430	Actg2	NM_009610	
ENSMUSG00000000530	Acvrl1	NM_009612	
ENSMUSG00000028041	Adam15	NM_009614	
ENSMUSG00000052593	Adam17	NM_009615	
ENSMUSG00000011256	Adam19	NM_009616	
ENSMUSG00000022893	Adamts1	NM_009621	
ENSMUSG00000051149	Adnp	NM_009628	
ENSMUSG00000020178	Adora2a	NM_009630	
ENSMUSG00000036023	Parp2	NM_009632	
ENSMUSG00000022407	Adsl	NM_009634	
ENSMUSG00000020473	Aebp1	NM_009636	
ENSMUSG00000030232	Aebp2	NM_009637	
ENSMUSG00000022309	Angpt1	NM_009640	
ENSMUSG00000029007	Agtrap	NM_009642	
ENSMUSG00000069833	Ahnak	NM_009643	
ENSMUSG00000028527	Ak4	NM_009647	
ENSMUSG00000001729	Akt1	NM_009652	
ENSMUSG00000025270	Alas2	NM_009653	
ENSMUSG00000022636	Alcam	NM_009655	
ENSMUSG00000029455	Aldh2	NM_009656	
ENSMUSG00000017390	Aldoc	NM_009657	
ENSMUSG00000005686	Ampd3	NM_009667	
ENSMUSG00000020790	Ankfy1	NM_009671	
ENSMUSG00000032249	Anp32a	NM_009672	
ENSMUSG00000027712	Anxa5	NM_009673	
ENSMUSG00000021814	Anxa7	NM_009674	
ENSMUSG00000031731	Ap1g1	NM_009677	
ENSMUSG00000022841	Ap2m1	NM_009679	
ENSMUSG00000021686	Ap3b1	NM_009680	
ENSMUSG00000024480	Ap3s1	NM_009681	
ENSMUSG00000063801	Ap3s2	NM_009682	
ENSMUSG00000019979	Apaf1	NM_009684	
ENSMUSG00000037032	Apbb1	NM_009685	
ENSMUSG00000029207	Apbb2	NM_009686	
ENSMUSG00000035960	Apex1	NM_009687	
ENSMUSG00000025860	Xiap	NM_009688	
ENSMUSG00000017716	Birc5	NM_009689	
ENSMUSG00000031996	Aplp2	NM_009691	
ENSMUSG00000040694	Apobec2	NM_009694	
ENSMUSG00000002985	Apoe	NM_009696	
ENSMUSG00000030551	Nr2f2	NM_009697	
ENSMUSG00000006589	Aprt	NM_009698	
ENSMUSG00000024411	Aqp4	NM_009700	
ENSMUSG00000040383	Aqr	NM_009702	
ENSMUSG00000001127	Araf	NM_009703	
ENSMUSG00000035133	Arhgap5	NM_009706	
ENSMUSG00000031355	Arhgap6	NM_009707	
ENSMUSG00000001313	Rnd2	NM_009708	
ENSMUSG00000042082	Arsb	NM_009712	
ENSMUSG00000022620	Arsa	NM_009713	
ENSMUSG00000042406	Atf4	NM_009716	
ENSMUSG00000018585	Atox1	NM_009720	
ENSMUSG00000026576	Atp1b1	NM_009721	
ENSMUSG00000029467	Atp2a2	NM_009722	
ENSMUSG00000000563	Atp5f1	NM_009725	
ENSMUSG00000024121	Atp6v0c	NM_009729	
ENSMUSG00000027312	Atrn	NM_009730	
ENSMUSG00000060802	B2m	NM_009735	
ENSMUSG00000030826	Bcat2	NM_009737	
ENSMUSG00000027792	Bche	NM_009738	
ENSMUSG00000030802	Bckdk	NM_009739	
ENSMUSG00000028191	Bcl10	NM_009740	
ENSMUSG00000057329	Bcl2	NM_009741	
ENSMUSG00000007659	Bcl2l1	NM_009743	
ENSMUSG00000029681	Bcl7b	NM_009745	
ENSMUSG00000030814	Bcl7c	NM_009746	
ENSMUSG00000032757	Bet1	NM_009748	
ENSMUSG00000042750	Bex2	NM_009749	
ENSMUSG00000046432	Ngfrap1	NM_009750	
ENSMUSG00000045594	Glb1	NM_009752	
ENSMUSG00000022098	Bmp1	NM_009755	
ENSMUSG00000030046	Bmp10	NM_009756	
ENSMUSG00000021796	Bmpr1a	NM_009758	
ENSMUSG00000031377	Bmx	NM_009759	
ENSMUSG00000078566	Bnip3	NM_009760	
ENSMUSG00000022051	Bnip3l	NM_009761	
ENSMUSG00000055027	Smyd1	NM_009762	
ENSMUSG00000017146	Brca1	NM_009764	
ENSMUSG00000040084	Bub1b	NM_009773	
ENSMUSG00000066979	Bub3	NM_009774	
ENSMUSG00000041736	Tspo	NM_009775	
ENSMUSG00000023224	Serping1	NM_009776	
ENSMUSG00000036905	C1qb	NM_009777	
ENSMUSG00000051331	Cacna1c	NM_009781	
ENSMUSG00000014226	Cacybp	NM_009786	
ENSMUSG00000025823	Pdia4	NM_009787	
ENSMUSG00000001175	Calm1	NM_009790	
ENSMUSG00000033952	Aspm	NM_009791	
ENSMUSG00000024617	Camk2a	NM_009792	
ENSMUSG00000026509	Capn2	NM_009794	
ENSMUSG00000001794	Capns1	NM_009795	
ENSMUSG00000021893	Capn7	NM_009796	
ENSMUSG00000070372	Capza1	NM_009797	
ENSMUSG00000028745	Capzb	NM_009798	
ENSMUSG00000027562	Car2	NM_009801	
ENSMUSG00000027187	Cat	NM_009804	
ENSMUSG00000031012	Cask	NM_009806	
ENSMUSG00000031628	Casp3	NM_009810	
ENSMUSG00000027997	Casp6	NM_009811	
ENSMUSG00000026029	Casp8	NM_009812	
ENSMUSG00000007122	Casq1	NM_009813	
ENSMUSG00000027861	Casq2	NM_009814	
ENSMUSG00000021585	Cast	NM_009817	
ENSMUSG00000037815	Ctnna1	NM_009818	
ENSMUSG00000006586	Runx1t1	NM_009822	
ENSMUSG00000038533	Cbfa2t2	NM_009823	
ENSMUSG00000070436	Serpinh1	NM_009825	
ENSMUSG00000025907	Rb1cc1	NM_009826	
ENSMUSG00000027715	Ccna2	NM_009828	
ENSMUSG00000000184	Ccnd2	NM_009829	
ENSMUSG00000028212	Ccne2	NM_009830	
ENSMUSG00000020326	Ccng1	NM_009831	
ENSMUSG00000021258	Ccnk	NM_009832	
ENSMUSG00000011960	Ccnt1	NM_009833	
ENSMUSG00000023087	Ccrn4l	NM_009834	
ENSMUSG00000001416	Cct3	NM_009836	
ENSMUSG00000007739	Cct4	NM_009837	
ENSMUSG00000025613	Cct8	NM_009840	
ENSMUSG00000025510	Cd151	NM_009842	
ENSMUSG00000047139	Cd24a	NM_009846	
ENSMUSG00000061665	Cd2ap	NM_009847	
ENSMUSG00000048120	Entpd1	NM_009848	
ENSMUSG00000018774	Cd68	NM_009853	
ENSMUSG00000001833	Sept7	NM_009859	
ENSMUSG00000044201	Cdc25c	NM_009860	
ENSMUSG00000006699	Cdc42	NM_009861	
ENSMUSG00000000028	Cdc45	NM_009862	
ENSMUSG00000029283	Cdc7	NM_009863	
ENSMUSG00000031673	Cdh11	NM_009866	
ENSMUSG00000031871	Cdh5	NM_009868	
ENSMUSG00000006728	Cdk4	NM_009870	
ENSMUSG00000040274	Cdk6	NM_009873	
ENSMUSG00000069089	Cdk7	NM_009874	
ENSMUSG00000003031	Cdkn1b	NM_009875	
ENSMUSG00000037664	Cdkn1c	NM_009876	
ENSMUSG00000096472	Cdkn2d	NM_009878	
ENSMUSG00000029469	Ift81	NM_009879	
ENSMUSG00000056501	Cebpb	NM_009883	
ENSMUSG00000056216	Cebpg	NM_009884	
ENSMUSG00000016028	Celsr1	NM_009886	
ENSMUSG00000026365	Cfh	NM_009888	
ENSMUSG00000032578	Cish	NM_009895	
ENSMUSG00000056025	Clca1	NM_009899	
ENSMUSG00000030894	Tpp1	NM_009906	
ENSMUSG00000030282	Cmas	NM_009908	
ENSMUSG00000045382	Cxcr4	NM_009911	
ENSMUSG00000015759	Cnih1	NM_009919	
ENSMUSG00000001349	Cnn1	NM_009922	
ENSMUSG00000006782	Cnp	NM_009923	
ENSMUSG00000028339	Col15a1	NM_009928	
ENSMUSG00000001435	Col18a1	NM_009929	
ENSMUSG00000026043	Col3a1	NM_009930	
ENSMUSG00000031502	Col4a1	NM_009931	
ENSMUSG00000031503	Col4a2	NM_009932	
ENSMUSG00000001119	Col6a1	NM_009933	
ENSMUSG00000057606	Colq	NM_009937	
ENSMUSG00000026553	Copa	NM_009938	
ENSMUSG00000027206	Cops2	NM_009939	
ENSMUSG00000030652	Coq7	NM_009940	
ENSMUSG00000031818	Cox4i1	NM_009941	
ENSMUSG00000061518	Cox5b	NM_009942	
ENSMUSG00000030785	Cox6a2	NM_009943	
ENSMUSG00000074218	Cox7a1	NM_009944	
ENSMUSG00000032330	Cox7a2	NM_009945	
ENSMUSG00000025867	Cplx2	NM_009946	
ENSMUSG00000078937	Cpt1b	NM_009948	
ENSMUSG00000028607	Cpt2	NM_009949	
ENSMUSG00000045867	Cradd	NM_009950	
ENSMUSG00000013415	Igf2bp1	NM_009951	
ENSMUSG00000003476	Crhr2	NM_009953	
ENSMUSG00000031955	Bcar1	NM_009954	
ENSMUSG00000022048	Dpysl2	NM_009955	
ENSMUSG00000068742	Cry2	NM_009963	
ENSMUSG00000032060	Cryab	NM_009964	
ENSMUSG00000028199	Cryz	NM_009968	
ENSMUSG00000059326	Csf2ra	NM_009970	
ENSMUSG00000046707	Csnk2a2	NM_009974	
ENSMUSG00000024387	Csnk2b	NM_009975	
ENSMUSG00000027447	Cst3	NM_009976	
ENSMUSG00000030970	Ctbp2	NM_009980	
ENSMUSG00000005615	Pcyt1a	NM_009981	
ENSMUSG00000030560	Ctsc	NM_009982	
ENSMUSG00000007891	Ctsd	NM_009983	
ENSMUSG00000021477	Ctsl	NM_009984	
ENSMUSG00000029705	Cux1	NM_009986	
ENSMUSG00000052336	Cx3cr1	NM_009987	
ENSMUSG00000026399	Cd55	NM_010016	
ENSMUSG00000039952	Dag1	NM_010017	
ENSMUSG00000000340	Dbt	NM_010022	
ENSMUSG00000024132	Eci1	NM_010023	
ENSMUSG00000022377	Asap1	NM_010026	
ENSMUSG00000001666	Ddt	NM_010027	
ENSMUSG00000000787	Ddx3x	NM_010028	
ENSMUSG00000026208	Des	NM_010043	
ENSMUSG00000028974	Dffa	NM_010044	
ENSMUSG00000022555	Dgat1	NM_010046	
ENSMUSG00000003531	Dgcr6	NM_010047	
ENSMUSG00000021707	Dhfr	NM_010049	
ENSMUSG00000040856	Dlk1	NM_010052	
ENSMUSG00000098411	DLK1	NM_010052	
ENSMUSG00000030410	Dmwd	NM_010058	
ENSMUSG00000027012	Dync1i2	NM_010064	
ENSMUSG00000026825	Dnm1	NM_010065	
ENSMUSG00000004099	Dnmt1	NM_010066	
ENSMUSG00000078919	Dpm1	NM_010072	
ENSMUSG00000026810	Dpm2	NM_010073	
ENSMUSG00000035000	Dpp4	NM_010074	
ENSMUSG00000024302	Dtna	NM_010087	
ENSMUSG00000027368	Dusp2	NM_010090	
ENSMUSG00000029071	Dvl1	NM_010091	
ENSMUSG00000016477	E2f3	NM_010093	
ENSMUSG00000029309	Sparcl1	NM_010097	
ENSMUSG00000026525	Opn3	NM_010098	
ENSMUSG00000067586	S1pr3	NM_010101	
ENSMUSG00000021367	Edn1	NM_010104	
ENSMUSG00000037742	Eef1a1	NM_010106	
ENSMUSG00000027954	Efna1	NM_010107	
ENSMUSG00000031217	Efnb1	NM_010110	
ENSMUSG00000001300	Efnb2	NM_010111	
ENSMUSG00000022203	Efs	NM_010112	
ENSMUSG00000020282	Rhbdf1	NM_010117	
ENSMUSG00000024772	Ehd1	NM_010119	
ENSMUSG00000057561	Eif1a	NM_010120	
ENSMUSG00000031668	Eif2ak3	NM_010121	
ENSMUSG00000029145	Eif2b4	NM_010122	
ENSMUSG00000024991	Eif3a	NM_010123	
ENSMUSG00000020091	Eif4ebp2	NM_010124	
ENSMUSG00000098598	Pou6f1	NM_010127	
ENSMUSG00000030208	Emp1	NM_010128	
ENSMUSG00000040212	Emp3	NM_010129	
ENSMUSG00000024140	Epas1	NM_010137	
ENSMUSG00000006445	Epha2	NM_010139	
ENSMUSG00000052504	Epha3	NM_010140	
ENSMUSG00000028289	Epha7	NM_010141	
ENSMUSG00000005958	Ephb3	NM_010143	
ENSMUSG00000029710	Ephb4	NM_010144	
ENSMUSG00000035203	Epn1	NM_010147	
ENSMUSG00000001036	Epn2	NM_010148	
ENSMUSG00000002393	Nr2f6	NM_010150	
ENSMUSG00000062209	Erbb4	NM_010154	
ENSMUSG00000040857	Erf	NM_010155	
ENSMUSG00000022332	Khdrbs3	NM_010158	
ENSMUSG00000002107	Celf2	NM_010160	
ENSMUSG00000061731	Ext1	NM_010162	
ENSMUSG00000027198	Ext2	NM_010163	
ENSMUSG00000048376	F2r	NM_010169	
ENSMUSG00000028773	Fabp3	NM_010174	
ENSMUSG00000031077	Fadd	NM_010175	
ENSMUSG00000028676	Srsf10	NM_010178	
ENSMUSG00000006369	Fbln1	NM_010180	
ENSMUSG00000024598	Fbn2	NM_010181	
ENSMUSG00000042423	Fbrs	NM_010183	
ENSMUSG00000058715	Fcer1g	NM_010185	
