# GREAT version 4.0.4	Species assembly: mm9	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
H3K4me3Heart_30	Cops5 (-1827), Cspp1 (+1736)
H3K4me3Heart_14166	Efcab10 (-80445), Atxn7l1 (+11894)
H3K4me3Heart_14174	Hdac9 (+11836), Twist1 (+559382)
H3K4me3Heart_14192	Lsmem1 (+588)
H3K4me3Heart_14193	Lsmem1 (-21122), Ifrd1 (+2752)
H3K4me3Heart_14195	Ifrd1 (-20850), Zfp277 (+201751)
H3K4me3Heart_14201	Lrrn3 (-80567)
H3K4me3Heart_14206	Stxbp6 (+6630), Nrcam (+738597)
H3K4me3Heart_14217	Prkd1 (-409553), G2e3 (-289512)
H3K4me3Heart_14231	Npas3 (-458211), Akap6 (+91083)
H3K4me3Heart_14232	Npas3 (-393731), Akap6 (+155563)
H3K4me3Heart_14233	Npas3 (-215232), Akap6 (+334062)
H3K4me3Heart_14242	Egln3 (-201564), Sptssa (+251148)
H3K4me3Heart_14254	Aldoart2 (-60962), Nfkbia (-11630)
H3K4me3Heart_14261	Mbip (-113495), Nkx2-1 (+77519)
H3K4me3Heart_14263	Mbip (-188944), Nkx2-1 (+2070)
H3K4me3Heart_14274	Sstr1 (-639851), Ttc6 (+7808)
H3K4me3Heart_14276	Sstr1 (-434943), Ttc6 (+212716)
H3K4me3Heart_14278	Clec14a (+2534), Sstr1 (+54952)
H3K4me3Heart_14294	Wdr20rt (+33486)
H3K4me3Heart_14309	Gm9887 (-130175), Vcpkmt (+80395)
H3K4me3Heart_14311	Gm9887 (-202081), Vcpkmt (+8489)
H3K4me3Heart_14328	Frmd6 (-41530), Tmx1 (+330889)
H3K4me3Heart_14334	Tomm20l (-1)
H3K4me3Heart_14337	Daam1 (-52744), Dact1 (+468450)
H3K4me3Heart_14339	Daam1 (+3205), Gpr135 (+236708)
H3K4me3Heart_14352	Six6 (+355)
H3K4me3Heart_14354	Six6 (+37081), Six1 (+70374)
H3K4me3Heart_14364	Hif1a (-60906), Prkch (+262201)
H3K4me3Heart_14366	Snapc1 (-53655), Hif1a (+2971)
H3K4me3Heart_14367	Snapc1 (-16714), Hif1a (+39912)
H3K4me3Heart_14377	Rhoj (+2597), Gphb5 (+105862)
H3K4me3Heart_14382	Wdr89 (-64095), Sgpp1 (+2132)
H3K4me3Heart_14385	Syne2 (+18707), Esr2 (+340234)
H3K4me3Heart_14386	Syne2 (+35563), Esr2 (+323378)
H3K4me3Heart_14399	Plekhg3 (-85594), Ppp1r36 (+30367)
H3K4me3Heart_14401	Plekhg3 (+13355), Sptb (+163632)
H3K4me3Heart_14450	Map3k9 (-63929), Pcnx (-14931)
H3K4me3Heart_14452	Sipa1l1 (-188860), Pcnx (+262459)
H3K4me3Heart_14457	Dpf3 (-313803), Dcaf4 (-95731)
H3K4me3Heart_14481	Fam161b (-20551), Entpd5 (+18550)
H3K4me3Heart_14492	Dlst (-4384), Prox2 (-18)
H3K4me3Heart_14502	Tmed10 (-61255), Fos (-37918)
H3K4me3Heart_14506	Jdp2 (-27187), Fos (+98339)
H3K4me3Heart_14512	Erg28 (+5743), Mfsd7c (+72240)
H3K4me3Heart_14516	Gpatch2l (-150020), Ift43 (+9307)
H3K4me3Heart_14520	Esrrb (-60114), Gpatch2l (+119640)
H3K4me3Heart_14529	Irf2bpl (+52608), Lrrc74a (+95790)
H3K4me3Heart_14543	Sptlc2 (-19599), Alkbh1 (+35885)
H3K4me3Heart_14546	Gm2016 (-80129), Adck1 (-5925)
H3K4me3Heart_14548	Nrxn3 (-72176), Adck1 (+362455)
H3K4me3Heart_14553	Gtf2a1 (+37702), Tshr (+151314)
H3K4me3Heart_14569	Foxn3 (+37596), Ttc8 (+435589)
H3K4me3Heart_14573	Foxn3 (-176542), Efcab11 (+313103)
H3K4me3Heart_14592	Tc2n (-98736), Fbln5 (+1796)
H3K4me3Heart_14602	Itpk1 (-3513)
H3K4me3Heart_14610	Prima1 (-95891), Asb2 (+17960)
H3K4me3Heart_14611	Asb2 (+115)
H3K4me3Heart_14616	Gsc (+1674), Serpina3n (+64924)
H3K4me3Heart_14618	Gsc (-164506), Dicer1 (+114119)
H3K4me3Heart_14623	Glrx5 (-19311), Syne3 (-14701)
H3K4me3Heart_14639	3110018I06Rik (-477126)
H3K4me3Heart_14640	3110018I06Rik (+157188), Bcl11b (+357782)
H3K4me3Heart_14641	Bcl11b (+72876), 3110018I06Rik (+442094)
H3K4me3Heart_14642	Bcl11b (+25499), 3110018I06Rik (+489471)
H3K4me3Heart_14650	Eml1 (-51548), Cyp46a1 (+36891)
H3K4me3Heart_14652	Evl (-51193), Eml1 (+80711)
H3K4me3Heart_14665	Dlk1 (+6892), Rtl1 (+140589)
H3K4me3Heart_14710	Tmem179 (+20037), Kif26a (+344888)
H3K4me3Heart_14736	Tmem121 (+2030), Ighg2c (+100997)
H3K4me3Heart_14737	Adam6a (+835043)
H3K4me3Heart_14746	Rapgef5 (-69059), Ptprn2 (+961700)
H3K4me3Heart_14748	Cdca7l (-184257), Rapgef5 (+142779)
H3K4me3Heart_14749	Cdca7l (-182997), Rapgef5 (+144039)
H3K4me3Heart_14758	Sp8 (+2207), Abcb5 (+117885)
H3K4me3Heart_14771	Klf6 (-147003)
H3K4me3Heart_14772	Klf6 (-35226)
H3K4me3Heart_14776	Pitrm1 (-650232), Klf6 (+36436)
H3K4me3Heart_14784	Dip2c (-148838), Larp4b (+34190)
H3K4me3Heart_14785	Dip2c (-85473), Larp4b (+97555)
H3K4me3Heart_14787	Dip2c (+110727), Zmynd11 (+377500)
H3K4me3Heart_14792	Ryr2 (+4706)
H3K4me3Heart_14795	Mtr (-77041), Actn2 (+5719)
H3K4me3Heart_14796	Mtr (-80192), Actn2 (+2568)
H3K4me3Heart_14798	Actn2 (-28753), Heatr1 (-25885)
H3K4me3Heart_14807	Lyst (-151723), Nid1 (+1084)
H3K4me3Heart_14817	Gli3 (-37134), AW209491 (+796154)
H3K4me3Heart_14822	Inhba (+9503)
H3K4me3Heart_14827	Yae1d1 (-131123), Pou6f2 (+257567)
H3K4me3Heart_14834	Trim27 (-20526), Olfr1368 (-16606)
H3K4me3Heart_14910	Abt1 (-8672), Btn1a1 (+33337)
H3K4me3Heart_14921	Btn2a2 (-27642), Hist1h4h (-14551)
H3K4me3Heart_14953	Ripor2 (-35069), Cmah (+276159)
H3K4me3Heart_14975	Sox4 (-659696), Cdkal1 (+242265)
H3K4me3Heart_14980	Agtr1a (+9196), Uqcrfs1 (+199725)
H3K4me3Heart_14981	Uqcrfs1 (+23689), Agtr1a (+185232)
H3K4me3Heart_14985	Irf4 (+1455), Hus1b (+197078)
H3K4me3Heart_14998	Gmds (+104263), Foxc1 (+427705)
H3K4me3Heart_15003	Serpinb1b (-4601)
H3K4me3Heart_15011	Tubb2b (-3465)
H3K4me3Heart_15023	Eci2 (-389864), Cdyl (-275871)
H3K4me3Heart_15038	Rreb1 (-168985), Ly86 (+311985)
H3K4me3Heart_15048	Snrnp48 (-33983), Dsp (+19608)
H3K4me3Heart_15051	Bmp6 (+8321), Txndc5 (+174453)
H3K4me3Heart_15057	Slc35b3 (-50976)
H3K4me3Heart_15062	Tfap2a (+227)
H3K4me3Heart_15063	Tfap2a (-92382), Gcnt2 (-33927)
H3K4me3Heart_15092	Jarid2 (-501584), Cd83 (+444132)
H3K4me3Heart_15093	Jarid2 (-148467), Cd83 (+797249)
H3K4me3Heart_15101	Gmpr (+54874), Atxn1 (+402658)
H3K4me3Heart_15104	Stmnd1 (-311)
H3K4me3Heart_15105	Rbm24 (-4145)
H3K4me3Heart_15107	Cap2 (-79530), Rbm24 (+4018)
H3K4me3Heart_15108	Cap2 (-78279), Rbm24 (+5269)
H3K4me3Heart_15114	Nup153 (-199301), Kif13a (+2568)
H3K4me3Heart_15118	Dek (+1724), Kdm1b (+60966)
H3K4me3Heart_15121	Rnf144b (+25751)
H3K4me3Heart_15124	Id4 (-987981), Rnf144b (+150726)
H3K4me3Heart_15126	Id4 (-405631), Rnf144b (+733076)
H3K4me3Heart_15134	A830005F24Rik (+38873), Ptpdc1 (+73221)
H3K4me3Heart_15136	Barx1 (-3031)
H3K4me3Heart_15138	Barx1 (+6202), Phf2 (+201685)
H3K4me3Heart_15157	Spin1 (-175973), Nutm2 (+491068)
H3K4me3Heart_15159	Nxnl2 (-15318), Spin1 (+21359)
H3K4me3Heart_15161	S1pr3 (-233811), Nxnl2 (+3782)
H3K4me3Heart_15165	S1pr3 (+1518), Shc3 (+156948)
H3K4me3Heart_15180	Nfil3 (-1791)
H3K4me3Heart_15252	Spock1 (-75931), Klhl3 (+111732)
H3K4me3Heart_15267	Ntrk2 (+266229), Agtpbp1 (+483160)
H3K4me3Heart_15271	Golm1 (-12701), 4921517D22Rik (+5616)
H3K4me3Heart_15297	Fbp1 (-355516), Fancc (+187874)
H3K4me3Heart_15301	Ptch1 (-86)
H3K4me3Heart_15311	Cdc14b (-35530), Aaed1 (+2202)
H3K4me3Heart_15321	Gm10139 (-200864), Zfp369 (+32628)
H3K4me3Heart_15358	Papd7 (+140)
H3K4me3Heart_15366	Irx1 (+504836), 8030423J24Rik (+574509)
H3K4me3Heart_15368	Irx2 (-336304), Irx1 (-328793)
H3K4me3Heart_15373	Irx4 (+8192), Ndufs6 (+59853)
H3K4me3Heart_15391	Ahrr (+109)
H3K4me3Heart_15394	Lrrc14b (+271)
H3K4me3Heart_15396	Zfp72 (-23199), Zfp825 (+83178)
H3K4me3Heart_15401	Zfp825 (-108593), Erap1 (-48336)
H3K4me3Heart_15426	Adgrv1 (+281490), Arrdc3 (+467992)
H3K4me3Heart_15432	Mef2c (-560986)
H3K4me3Heart_15437;H3K4me3Heart_15438	Tmem161b (-489023), Mef2c (+229845)
H3K4me3Heart_15445	Rasa1 (+409)
H3K4me3Heart_15449	Hapln1 (+1825), Vcan (+200048)
H3K4me3Heart_15474	Jmy (+2522), Homer1 (+189133)
H3K4me3Heart_15478	Lhfpl2 (-201671), Arsb (+84446)
H3K4me3Heart_15487	Otp (-68914), Tbca (+17770)
H3K4me3Heart_15514	Enc1 (+3433), Arhgef28 (+961627)
H3K4me3Heart_15516	Enc1 (+149627), Arhgef28 (+815433)
H3K4me3Heart_15518	Enc1 (+197863), Arhgef28 (+767197)
H3K4me3Heart_15531	Tmem174 (+750)
H3K4me3Heart_15536	1700024P04Rik (-168094), Zfp366 (-32164)
H3K4me3Heart_15554	Cenph (-8524), Ccnb1 (+2147)
H3K4me3Heart_15559	Slc30a5 (-924509), Pik3r1 (+10281)
H3K4me3Heart_15562	Pik3r1 (-896823), Cd180 (-48643)
H3K4me3Heart_15568	Mast4 (+239724), Cd180 (+401178)
H3K4me3Heart_15578	Adamts6 (+864)
H3K4me3Heart_15594	Kif2a (-578812), Zswim6 (+289252)
H3K4me3Heart_15612	Pde4d (+194718), Rab3c (+504097)
H3K4me3Heart_15624	Map3k1 (+20487), Mier3 (+102328)
H3K4me3Heart_15631	Il6st (-34893), Ankrd55 (+151664)
H3K4me3Heart_15635	Plpp1 (+34526), Skiv2l2 (+91960)
H3K4me3Heart_15644	BC067074 (-92931), Esm1 (+14494)
H3K4me3Heart_15647	Hspb3 (+406)
H3K4me3Heart_15649	Arl15 (+86169), Ndufs4 (+507420)
H3K4me3Heart_15657	Isl1 (+12244)
H3K4me3Heart_15660	Isl1 (-396790), Parp8 (+317637)
H3K4me3Heart_15689	Fezf2 (-617)
H3K4me3Heart_15722	Gng2 (-57673), Saysd1 (+48250)
H3K4me3Heart_15733	Myoz1 (+112)
H3K4me3Heart_15734	Myoz1 (-7848), Synpo2l (+3918)
H3K4me3Heart_15735	Synpo2l (+98)
H3K4me3Heart_15746	Kat6b (-422257), Adk (+24964)
H3K4me3Heart_15762	Zmiz1 (-958576), Rps24 (+10231)
H3K4me3Heart_15764	Zmiz1 (-141224), Rps24 (+827583)
H3K4me3Heart_15771;H3K4me3Heart_15772	Slmap (+93902), Duxbl3 (+178735)
H3K4me3Heart_15773	Slmap (+92258), Duxbl3 (+180379)
H3K4me3Heart_15774	Slmap (+84562), Duxbl3 (+188075)
H3K4me3Heart_15779	Pde12 (-826)
H3K4me3Heart_15783	Arhgef3 (-179282), Il17rd (+19756)
H3K4me3Heart_15785	Arhgef3 (+111)
H3K4me3Heart_15792	Lrtm1 (-484917), Wnt5a (+28541)
H3K4me3Heart_15793	Lrtm1 (+378)
H3K4me3Heart_15799	Dcp1a (-73536), Cacna1d (-52543)
H3K4me3Heart_15801;H3K4me3Heart_15802	Tkt (-58899), Dcp1a (+10667)
H3K4me3Heart_15821	Colq (+319)
H3K4me3Heart_15826	Galnt15 (-137285), Ankrd28 (-61289)
H3K4me3Heart_15828	Galnt15 (-154)
H3K4me3Heart_15837	Prrxl1 (+29509), 3425401B19Rik (+35089)
H3K4me3Heart_15847	Syt15 (-114)
H3K4me3Heart_15850	Fam35a (-2025), Glud1 (+1801)
H3K4me3Heart_15856	Ldb3 (+723)
H3K4me3Heart_15873	Mat1a (-174)
H3K4me3Heart_15875	Gm8267 (-119111), Ptgdr (+15277)
H3K4me3Heart_15892	Bmp4 (-214663), Cdkn3 (-155209)
H3K4me3Heart_15899	Samd4 (+59389), Gch1 (+247170)
H3K4me3Heart_15912	Otx2 (+2543), Tmem260 (+218588)
H3K4me3Heart_15916	Otx2 (-323509), Ap5m1 (-75473)
H3K4me3Heart_15974	Ajuba (-17852), 4931414P19Rik (+10640)
H3K4me3Heart_15989	Myh6 (+7196), Cmtm5 (+22941)
H3K4me3Heart_15990	Myh6 (+740)
H3K4me3Heart_15991	Myh6 (-13705), Myh7 (+14322)
H3K4me3Heart_15992	Myh6 (-17298), Myh7 (+10729)
H3K4me3Heart_15993	Myh7 (+746)
H3K4me3Heart_15994	Myh7 (-2752)
H3K4me3Heart_15995	Ngdn (-11060), Myh7 (-9760)
H3K4me3Heart_16068	Spata13 (-127684), Amer2 (+128273)
H3K4me3Heart_16071	C1qtnf9 (-32881), Spata13 (+101010)
H3K4me3Heart_16072	C1qtnf9 (-31538), Spata13 (+102353)
H3K4me3Heart_16080	Sacs (-59371), Tnfrsf19 (-32231)
H3K4me3Heart_16085	Arl11 (+21551), Ebpl (+29141)
H3K4me3Heart_16106	Neil2 (-39095), Gata4 (+12635)
H3K4me3Heart_16107	Neil2 (-43474), Gata4 (+8256)
H3K4me3Heart_16109	Gata4 (-4609)
H3K4me3Heart_16111	Gata4 (-17783), Blk (+154133)
H3K4me3Heart_16112	Gata4 (-19408), Blk (+152508)
H3K4me3Heart_16115	Gata4 (-122938), Blk (+48978)
H3K4me3Heart_16116	Gata4 (-126445), Blk (+45471)
H3K4me3Heart_16123	Msra (+145915), Prss52 (+205702)
H3K4me3Heart_16145	Clu (+2130), Gulo (+38597)
H3K4me3Heart_16148	Ptk2b (+23174), Chrna2 (+116848)
H3K4me3Heart_16218	Med4 (-94475), Itm2b (-30303)
H3K4me3Heart_16240	Tsc22d1 (-354522), Nufip1 (+39065)
H3K4me3Heart_16252	Fam216b (-127572), Tnfsf11 (+91464)
H3K4me3Heart_16266	Cnmd (+16745), Sugt1 (+57734)
H3K4me3Heart_16293	Lmo7 (+93971)
H3K4me3Heart_16296	Lmo7 (+154353)
H3K4me3Heart_16297	Lmo7 (+156395)
H3K4me3Heart_16306	Slain1 (+29794), Ednrb (+164151)
H3K4me3Heart_16308	Ednrb (+3882), Slain1 (+190063)
H3K4me3Heart_16311	Ednrb (-621878), Pou4f1 (+1940)
H3K4me3Heart_16320	Gm10076 (-115592), Ndfip2 (+307525)
H3K4me3Heart_16321	Gm10076 (-92207), Ndfip2 (+330910)
H3K4me3Heart_16326	Slitrk1 (+2827)
H3K4me3Heart_16329	Gpc5 (-258214)
H3K4me3Heart_16332	Gpc5 (-51182)
H3K4me3Heart_16342	Gm9376 (+118513), Abcc4 (+320548)
H3K4me3Heart_16347	Abcc4 (+111654), Gm9376 (+327407)
H3K4me3Heart_16358	Hs6st3 (+122529), Oxgr1 (+781491)
H3K4me3Heart_16371	Slc15a1 (+98)
H3K4me3Heart_16387	Itgbl1 (+1439)
H3K4me3Heart_16405	Osmr (+13013), Rictor (+153575)
H3K4me3Heart_16408	Lifr (+93798), Egflam (+174994)
H3K4me3Heart_16413	Gdnf (+123361), Wdr70 (+164837)
H3K4me3Heart_16426	Nadk2 (+4609), Skp2 (+64589)
H3K4me3Heart_16437	Tars (-342489), Npr3 (+163527)
H3K4me3Heart_16451	Cdh6 (-70765)
H3K4me3Heart_16459	9230109A22Rik (-209779), Basp1 (+54826)
H3K4me3Heart_16462	Myo10 (-181083), Basp1 (-27678)
H3K4me3Heart_16463	Myo10 (-176617), Basp1 (-32144)
H3K4me3Heart_16472	Ank (-60750), Gm6576 (+380626)
H3K4me3Heart_16481	Dnah5 (-132534), Trio (-45370)
H3K4me3Heart_16490	Ankrd33b (-50472), Ropn1l (+35449)
H3K4me3Heart_16493	Cmbl (-160)
H3K4me3Heart_16499	Cpq (-148086), Sdc2 (+14320)
H3K4me3Heart_16530	Pabpc1 (-480)
H3K4me3Heart_16543	Ncald (+58108), 4930447A16Rik (+308771)
H3K4me3Heart_16566	Oxr1 (-781277), Zfpm2 (+11163)
H3K4me3Heart_16571	Abra (+117971), Oxr1 (+304267)
H3K4me3Heart_16573	Abra (+49716), Oxr1 (+372522)
H3K4me3Heart_16575	Abra (+515)
H3K4me3Heart_16626	Klhl38 (+133)
H3K4me3Heart_16638	Trib1 (-32741), Nsmce2 (+241411)
H3K4me3Heart_16640	Trib1 (-14565), Nsmce2 (+259587)
H3K4me3Heart_16643	Trib1 (+32397), 4933412E24Rik (+335871)
H3K4me3Heart_16644	Trib1 (+111647), 4933412E24Rik (+256621)
H3K4me3Heart_16666	Khdrbs3 (+113430)
H3K4me3Heart_16707	Mapk15 (+4062), Fam83h (+11667)
H3K4me3Heart_16730	Scx (+4827), Bop1 (+15004)
H3K4me3Heart_16758	Mb (+23628), 1110038F14Rik (+50620)
H3K4me3Heart_16759	Mb (+9145), 1110038F14Rik (+65103)
H3K4me3Heart_16760	Mb (+1043), 1110038F14Rik (+73205)
H3K4me3Heart_16767	Rbfox2 (-49596), Apol7a (+39857)
H3K4me3Heart_16787	Elfn2 (-53417), Mfng (+1945)
H3K4me3Heart_16799	Gcat (-5006), Triobp (+78144)
H3K4me3Heart_16814	Tmem184b (+22219), Maff (+33543)
H3K4me3Heart_16815	Tmem184b (+1673), Maff (+54089)
H3K4me3Heart_16839	Pdgfb (+104)
H3K4me3Heart_16853	Adsl (-147450), Tnrc6b (+41454)
H3K4me3Heart_16896	Tcf20 (-8994), Nfam1 (+112178)
H3K4me3Heart_16911	Bik (-2795)
H3K4me3Heart_16936	Atxn10 (-38329), Fbln1 (+92103)
H3K4me3Heart_16963	Panx2 (-38958), Mov10l1 (+37880)
H3K4me3Heart_16970	Hdac10 (-8712), Mapk12 (+3291)
H3K4me3Heart_16972	Mapk12 (-6035), Mapk11 (+2804)
H3K4me3Heart_16974	Mapk11 (-19923), Plxnb2 (+11323)
H3K4me3Heart_16984	C730034F03Rik (-3874), Cpt1b (+148)
H3K4me3Heart_16996	Kif21a (-30830), Abcd2 (+162609)
H3K4me3Heart_17006	Pdzrn4 (+237392), Gxylt1 (+640854)
H3K4me3Heart_17013	Prickle1 (+56930), Pphln1 (+140611)
H3K4me3Heart_17017	Prickle1 (-449530), Adamts20 (+358837)
H3K4me3Heart_17025	Arid2 (-415781), Ano6 (+80949)
H3K4me3Heart_17026	Arid2 (-152143), Ano6 (+344587)
H3K4me3Heart_17027	Arid2 (-117574), Ano6 (+379156)
H3K4me3Heart_17044	Amigo2 (-129829), Rpap3 (+328706)
H3K4me3Heart_17057	Col2a1 (+2594), Tmem106c (+37822)
H3K4me3Heart_17079	Wnt10b (+212)
H3K4me3Heart_17092	Tuba1a (-30109), Gm8973 (-22396)
H3K4me3Heart_17104	Mcrs1 (+2339), Kcnh3 (+24646)
H3K4me3Heart_17115	Racgap1 (-2106)
H3K4me3Heart_17125	Atf1 (-119360), Dip2b (+69795)
H3K4me3Heart_17126	Atf1 (-28253), Dip2b (+160902)
H3K4me3Heart_17137	Dazap2 (+572)
H3K4me3Heart_17148	Ankrd33 (-17599), Scn8a (+142831)
H3K4me3Heart_17154	Nr4a1 (-35058), Grasp (+7581)
H3K4me3Heart_17155	Nr4a1 (-27767), Grasp (+14872)
H3K4me3Heart_17156	Nr4a1 (-25767), Grasp (+16872)
H3K4me3Heart_17188	Sp7 (-4457)
H3K4me3Heart_17204	Hoxc9 (+321)
H3K4me3Heart_17216	Cbx5 (-2636), Hnrnpa1 (+1938)
H3K4me3Heart_17222	Gpr84 (+1668), Copz1 (+35859)
H3K4me3Heart_17223	Gpr84 (-3559)
H3K4me3Heart_17228	Itga5 (-17079), Gtsf1 (+46628)
H3K4me3Heart_17244	Srl (+182)
H3K4me3Heart_17269	Eef2kmt (-175613)
H3K4me3Heart_17273	Rbfox1 (-30976)
H3K4me3Heart_17275	Rbfox1 (-20570)
H3K4me3Heart_17276	Rbfox1 (+27)
H3K4me3Heart_17284	1810013L24Rik (+186302), Grin2a (+978519)
H3K4me3Heart_17285	1810013L24Rik (+224708), Grin2a (+940113)
H3K4me3Heart_17294	Ciita (+9866), Dexi (+53044)
H3K4me3Heart_17299	Rmi2 (+8911), Litaf (+149151)
H3K4me3Heart_17305	Rsl1d1 (-49015), Gspt1 (+1894)
H3K4me3Heart_17310	Ercc4 (-48155)
H3K4me3Heart_17315	Mkl2 (+103006), Parn (+308683)
H3K4me3Heart_17334	Efcab1 (+146585), Ube2v2 (+541302)
H3K4me3Heart_17344	Dnm1l (-167861), Fgd4 (+33328)
H3K4me3Heart_17385	Zdhhc8 (+5098), Ccdc188 (+11868)
H3K4me3Heart_17396	Tbx1 (-1016)
H3K4me3Heart_17402	Sept5 (-103435), Cldn5 (-43501)
H3K4me3Heart_17421	Vwa5b2 (+1907), Alg3 (+19390)
H3K4me3Heart_17445	Tmem41a (-28730), Liph (+19268)
H3K4me3Heart_17450	Tra2b (-92864), Etv5 (+80850)
H3K4me3Heart_17451	Tra2b (-163221), Etv5 (+10493)
H3K4me3Heart_17455	Dgkg (-109737), Crygs (+44500)
H3K4me3Heart_17463	BC106179 (-191251), Rtp1 (-12514)
H3K4me3Heart_17464	Masp1 (+21662), Rtp1 (+69808)
H3K4me3Heart_17469	Rtp2 (-625)
H3K4me3Heart_17472	Rtp2 (-57039), Bcl6 (+1026)
H3K4me3Heart_17475	Trp63 (+116)
H3K4me3Heart_17488	Atp13a4 (-19222), Opa1 (-18629)
H3K4me3Heart_17499	Hes1 (+55786), Cpn2 (+146406)
H3K4me3Heart_17500	Hes1 (+80210), Cpn2 (+121982)
H3K4me3Heart_17565	Itgb5 (+62379), Umps (+74982)
H3K4me3Heart_17568	Umps (-295757), Kalrn (+251291)
H3K4me3Heart_17578	Sema5b (+46795), Dirc2 (+181199)
H3K4me3Heart_17586	Stfa3 (-100385), Casr (+6357)
H3K4me3Heart_17591	Fbxo40 (+329)
H3K4me3Heart_17601	Gsk3b (-94261), Gpr156 (+78244)
H3K4me3Heart_17606	Popdc2 (+627)
H3K4me3Heart_17607	Popdc2 (+6336), Pla1a (+64594)
H3K4me3Heart_17620	Upk1b (+6656), B4galt4 (+51283)
H3K4me3Heart_17627	Gap43 (-535615), Zbtb20 (-371018)
H3K4me3Heart_17629	Zbtb20 (+115918), Tigit (+300982)
H3K4me3Heart_17630	Tigit (+188609), Zbtb20 (+228291)
H3K4me3Heart_17632	Tigit (+157832), Zbtb20 (+259068)
H3K4me3Heart_17633	Drd3 (-53140), Tigit (-44897)
H3K4me3Heart_17641	Usf3 (+65910), Sidt1 (+94040)
H3K4me3Heart_17645	Cfap44 (+56959), Boc (+107112)
H3K4me3Heart_17659	Nectin3 (+573)
H3K4me3Heart_17667	Bbx (-84506), Ccdc54 (+74258)
H3K4me3Heart_17669	Ccdc54 (-98262)
H3K4me3Heart_17673	Alcam (+3562), Cblb (+418906)
H3K4me3Heart_17691	Filip1l (-38)
H3K4me3Heart_17692	Filip1l (+10049), Cmss1 (+243687)
H3K4me3Heart_17694	Cmss1 (+55942), Filip1l (+197794)
H3K4me3Heart_17698	St3gal6 (+10886), Dcbld2 (+104097)
H3K4me3Heart_17703	Crybg3 (+38518), Riox2 (+45459)
H3K4me3Heart_17714	Cggbp1 (+180)
H3K4me3Heart_17719	Vgll3 (+770334)
H3K4me3Heart_17725	Robo1 (+2434)
H3K4me3Heart_17726	Robo1 (+145385)
H3K4me3Heart_17728	Robo2 (+574989)
H3K4me3Heart_17739	Gm11146 (+270961), Usp25 (+317064)
H3K4me3Heart_17749	Btg3 (-50990), D16Ertd472e (+148857)
H3K4me3Heart_17758	Atp5j (-298320), App (+39758)
H3K4me3Heart_17769	Map3k7cl (+165)
H3K4me3Heart_17771	Bach1 (-87445), Map3k7cl (+58170)
H3K4me3Heart_17782	Tiam1 (-227945), Sod1 (-18098)
H3K4me3Heart_17784	Sod1 (+1784), Scaf4 (+61899)
H3K4me3Heart_17787	Mis18a (+98134), Hunk (+242873)
H3K4me3Heart_17789	Mis18a (+15020), Hunk (+325987)
H3K4me3Heart_17797	4932438H23Rik (-101002), Gm9881 (+1254)
H3K4me3Heart_17811	Atp5o (+45874), Itsn1 (+156460)
H3K4me3Heart_17819	Kcne1 (+660)
H3K4me3Heart_17825	Clic6 (+134306), Runx1 (+193626)
H3K4me3Heart_17828	Runx1 (-180703), Setd4 (+597034)
H3K4me3Heart_17829	Runx1 (-597156), Setd4 (+180581)
H3K4me3Heart_17838	Cldn14 (-57755), Sim2 (-19224)
H3K4me3Heart_17849	Dyrk1a (+152353), Kcnj6 (+275333)
H3K4me3Heart_17859	Hmgn1 (+472)
H3K4me3Heart_17870	Bace2 (+2896), Mx1 (+103282)
H3K4me3Heart_17888	Arid1b (+12504), Tmem242 (+432682)
H3K4me3Heart_17889	Arid1b (+63318), Tmem242 (+381868)
H3K4me3Heart_17895	Snx9 (-12997), Zdhhc14 (+335749)
H3K4me3Heart_17913	Tcp10a (-151538), Rps6ka2 (+3033)
H3K4me3Heart_17932	Pabpc6 (-639673), Qk (+9984)
H3K4me3Heart_17933	Pabpc6 (-643349), Qk (+6308)
H3K4me3Heart_17941	Agpat4 (-146586), Park2 (+905573)
H3K4me3Heart_17945	Slc22a1 (-58709), Igf2r (+35117)
H3K4me3Heart_17947	Slc22a1 (-84019), Igf2r (+9807)
H3K4me3Heart_17948	Slc22a1 (-86139), Igf2r (+7687)
H3K4me3Heart_17950	Mrgprh (+4176), Pnldc1 (+29790)
H3K4me3Heart_18049	Tbc1d24 (-3537)
H3K4me3Heart_18056	Eci1 (+2907), Dnase1l2 (+13515)
H3K4me3Heart_18061	Caskin1 (+18008), Traf7 (+21147)
H3K4me3Heart_18134	Atp6v0e (-91409), Ergic1 (+23498)
H3K4me3Heart_18139	Nkx2-5 (+267)
H3K4me3Heart_18140	Kifc5b (-70414), Nkx2-5 (-5112)
H3K4me3Heart_18141	Kifc5b (-68692), Nkx2-5 (-6834)
H3K4me3Heart_18142	Kifc5b (-65967), Nkx2-5 (-9559)
H3K4me3Heart_18144	Nkx2-5 (-51406), Kifc5b (-24120)
H3K4me3Heart_18151	Syngap1 (-3318)
H3K4me3Heart_18155	Bak1 (-3886), Ggnbp1 (+3636)
H3K4me3Heart_18169	Spdef (-68498), D17Wsu92e (+23110)
H3K4me3Heart_18179	Def6 (-27996), Zfp523 (+2364)
H3K4me3Heart_18189	Tulp1 (+684)
H3K4me3Heart_18191	Fkbp5 (-24760), Armc12 (-19951)
H3K4me3Heart_18199	4930539E08Rik (+5675), Pnpla1 (+51238)
