# GREAT version 4.0.4	Species assembly: mm9	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
1110002E22Rik	H3K4me3Heart_3805 (-63838)
Cdca7	H3K4me3Heart_1807 (-188794), H3K4me3Heart_1810 (+31967), H3K4me3Heart_1812 (+265090)
Cdca7l	H3K4me3Heart_14748 (-184257), H3K4me3Heart_14749 (-182997)
Cdh16	H3K4me3Heart_9847 (+15030)
Cdh22	H3K4me3Heart_2662 (+19277)
Cdh4	H3K4me3Heart_2801 (+220256)
Cdh6	H3K4me3Heart_16451 (-70765)
Cdhr3	H3K4me3Heart_14161 (-26268), H3K4me3Heart_14160 (+31164), H3K4me3Heart_14158 (+57033)
Cdk12	H3K4me3Heart_13488 (+124112)
Cdk14	H3K4me3Heart_5257 (+118787)
Cdk17	H3K4me3Heart_12055 (+100745), H3K4me3Heart_12057 (+145795)
Cdk19	H3K4me3Heart_11496 (+76225)
Cdk5r1	H3K4me3Heart_13204 (+31785)
Cdk5rap3	H3K4me3Heart_13427 (+52974)
Cdkal1	H3K4me3Heart_14975 (+242265)
Cdkn1a	H3K4me3Heart_18203 (-55288)
Cdkn1c	H3K4me3Heart_9012 (+1479)
Cdkn2aip	H3K4me3Heart_9362 (-36225)
Cdkn3	H3K4me3Heart_15892 (-155209)
Cdo1	H3K4me3Heart_19156 (+91473)
Cdon	H3K4me3Heart_10342 (+3115)
Cdr2l	H3K4me3Heart_13807 (+11851)
Cdsn	H3K4me3Heart_18367 (-2178)
Cdx2	H3K4me3Heart_6497 (-8078)
Cdyl	H3K4me3Heart_15023 (-275871)
Celf1	H3K4me3Heart_1944 (+24855)
Celf4	H3K4me3Heart_18959 (-1082)
Cenph	H3K4me3Heart_15554 (-8524)
Cenpu	H3K4me3Heart_9344 (-52630)
Cep120	H3K4me3Heart_19181 (+270973)
Cep135	H3K4me3Heart_5709 (+114282), H3K4me3Heart_5711 (+277280), H3K4me3Heart_5713 (+287719)
Cep57l1	H3K4me3Heart_11508 (+67140)
Cep83	H3K4me3Heart_12078 (-167769)
Cep85l	H3K4me3Heart_11585 (-154478), H3K4me3Heart_11582 (+5510), H3K4me3Heart_11578;H3K4me3Heart_11579;H3K4me3Heart_11580;H3K4me3Heart_11581 (+8659)
Cfap20	H3K4me3Heart_9815 (+7174), H3K4me3Heart_9814 (+73640)
Cfap43	H3K4me3Heart_20038 (+81603)
Cfap44	H3K4me3Heart_17645 (+56959)
Cfap45	H3K4me3Heart_1011 (-16754), H3K4me3Heart_1013 (+5676)
Cfap53	H3K4me3Heart_19347 (+11957)
Cfap58	H3K4me3Heart_20045 (+9396)
Cfi	H3K4me3Heart_3743 (-651)
Cga	H3K4me3Heart_4067 (+113282)
Cggbp1	H3K4me3Heart_17714 (+180)
Chac1	H3K4me3Heart_2164 (-18754)
Chd2	H3K4me3Heart_8334 (+148281)
Chd7	H3K4me3Heart_3949 (+263673), H3K4me3Heart_3951 (+445426)
Chd9	H3K4me3Heart_9752 (+26137)
Chek2	H3K4me3Heart_5940 (+19266)
Chn1	H3K4me3Heart_1831 (+115263), H3K4me3Heart_1830 (+178464)
Chordc1	H3K4me3Heart_10192 (+93624)
Chp2	H3K4me3Heart_8739 (+68)
Chrna1	H3K4me3Heart_1831 (-79745), H3K4me3Heart_1830 (-16544)
Chrna2	H3K4me3Heart_16148 (+116848)
Chst2	H3K4me3Heart_10909 (+150208)
Cidea	H3K4me3Heart_19298 (+26579)
Ciita	H3K4me3Heart_17294 (+9866)
Cisd1	H3K4me3Heart_11737 (+38435)
Cit	H3K4me3Heart_6043 (-45925)
Cited4	H3K4me3Heart_4608;H3K4me3Heart_4609 (-53315)
Ckm	H3K4me3Heart_7795 (+175)
Clasp1	H3K4me3Heart_593 (+93641)
Clca3a1	H3K4me3Heart_3837 (+29)
Clcn5	H3K4me3Heart_20147 (-126284)
Clcnka	H3K4me3Heart_5029 (-6063)
Clcnkb	H3K4me3Heart_5029 (+11227)
Cldn14	H3K4me3Heart_17838 (-57755)
Cldn18	H3K4me3Heart_10957 (+27646)
Cldn24	H3K4me3Heart_9362 (-71987)
Cldn5	H3K4me3Heart_17402 (-43501)
Clec14a	H3K4me3Heart_14278 (+2534)
Clec1a	H3K4me3Heart_7461 (+338)
Clic4	H3K4me3Heart_4907 (-14347), H3K4me3Heart_4905 (+5536), H3K4me3Heart_4902 (+97495), H3K4me3Heart_4901 (+106185)
Clic5	H3K4me3Heart_18434 (+112584)
Clic6	H3K4me3Heart_17825 (+134306)
Cln8	H3K4me3Heart_9129 (-204392)
Clu	H3K4me3Heart_16145 (+2130)
Cluh	H3K4me3Heart_13079 (+72623)
Clvs1	H3K4me3Heart_3949 (-314723), H3K4me3Heart_3951 (-132970), H3K4me3Heart_3953 (+373504)
Clvs2	H3K4me3Heart_11460 (+539528)
Cmah	H3K4me3Heart_14953 (+276159)
Cmbl	H3K4me3Heart_16493 (-160)
Cmc1	H3K4me3Heart_11190 (-303684)
Cmip	H3K4me3Heart_10001 (+146890)
Cmklr1	H3K4me3Heart_5971 (+167810)
Cmss1	H3K4me3Heart_17694 (+55942), H3K4me3Heart_17692 (+243687)
Cmtm5	H3K4me3Heart_15989 (+22941)
Cnih3	H3K4me3Heart_1091 (+114368)
Cnmd	H3K4me3Heart_16266 (+16745)
Cnn1	H3K4me3Heart_10262 (+617)
Cnnm1	H3K4me3Heart_19917 (+80238)
Cnot2	H3K4me3Heart_12179 (-146557)
Cnot8	H3K4me3Heart_12791 (-11065)
Cnp	H3K4me3Heart_13540 (-18983)
Cnr1	H3K4me3Heart_4056 (-207707)
Cntn3	H3K4me3Heart_7217 (+932093)
Cntrob	H3K4me3Heart_12970 (+57378), H3K4me3Heart_12969 (+77844)
Cobl	H3K4me3Heart_12473 (+29804), H3K4me3Heart_12472 (+155307)
Cobll1	H3K4me3Heart_1741 (+57370)
Col13a1	H3K4me3Heart_11656 (+42129)
Col16a1	H3K4me3Heart_4774 (-41030), H3K4me3Heart_4775 (-10600)
Col18a1	H3K4me3Heart_11785 (-85208), H3K4me3Heart_11784 (-21356), H3K4me3Heart_11782 (+76872)
Col1a1	H3K4me3Heart_13370 (-53397)
Col1a2	H3K4me3Heart_6570 (-167166), H3K4me3Heart_6572 (+40594)
Col23a1	H3K4me3Heart_12717 (+1518)
Col25a1	H3K4me3Heart_3749 (+157113)
Col26a1	H3K4me3Heart_6337 (+80097), H3K4me3Heart_6336 (+168311)
Col2a1	H3K4me3Heart_17057 (+2594)
Col3a1	H3K4me3Heart_207 (+2724)
Col4a2	H3K4me3Heart_9089 (-276500)
Col4a4	H3K4me3Heart_446 (+227726)
Col5a2	H3K4me3Heart_207 (+189020)
Col6a2	H3K4me3Heart_11777 (+39149)
Col6a3	H3K4me3Heart_513 (-66044), H3K4me3Heart_511 (+89728)
Col9a1	H3K4me3Heart_85 (-70000)
Colec11	H3K4me3Heart_14124 (+66)
Colgalt1	H3K4me3Heart_9552 (+54916), H3K4me3Heart_9553 (+57457)
Colq	H3K4me3Heart_15821 (+319)
Commd3	H3K4me3Heart_1292 (-218411)
Commd8	H3K4me3Heart_5658 (-333601)
Commd9	H3K4me3Heart_2025 (+116496)
Cops5	H3K4me3Heart_30 (-1827)
Cops8	H3K4me3Heart_511 (+150623)
Copz1	H3K4me3Heart_17222 (+35859)
Copz2	H3K4me3Heart_13427 (+13646)
Coq7	H3K4me3Heart_8700 (+44840)
Corin	H3K4me3Heart_5658 (+2424)
Coro1c	H3K4me3Heart_5978 (-22493)
Cox4i2	H3K4me3Heart_2486 (+10587)
Cox6a2	H3K4me3Heart_8843 (+119)
Cox7a2l	H3K4me3Heart_18772 (-99659), H3K4me3Heart_18771 (-49633)
Cox7b	H3K4me3Heart_20589 (+1518)
Cox8b	H3K4me3Heart_8944 (+251)
Cp	H3K4me3Heart_2914 (-250205)
Cpn2	H3K4me3Heart_17500 (+121982), H3K4me3Heart_17499 (+146406)
Cpq	H3K4me3Heart_16499 (-148086)
Cpt1a	H3K4me3Heart_19444 (+148)
Cpt1b	H3K4me3Heart_16984 (+148)
Cracr2a	H3K4me3Heart_7436 (+39916), H3K4me3Heart_7437 (+188376), H3K4me3Heart_7438 (+189833)
Cradd	H3K4me3Heart_12087 (-91750)
Crb2	H3K4me3Heart_1625 (-40548), H3K4me3Heart_1626 (-17713)
Creb1	H3K4me3Heart_311 (-229872)
Creb3l1	H3K4me3Heart_1967 (+67340)
Creb5	H3K4me3Heart_6880 (-408596)
Creg1	H3K4me3Heart_917 (-44951)
Crh	H3K4me3Heart_2914 (-11453)
Crhr2	H3K4me3Heart_6902 (+105)
Crlf1	H3K4me3Heart_9498 (-3310)
Crtc3	H3K4me3Heart_8412 (+101297)
Cry1	H3K4me3Heart_11998 (-146226)
Crybg3	H3K4me3Heart_17703 (+38518)
Cryga	H3K4me3Heart_318 (-9749)
Crygn	H3K4me3Heart_5354 (+18446)
Crygs	H3K4me3Heart_17455 (+44500)
Csf2	H3K4me3Heart_12766 (+147046)
Csgalnact1	H3K4me3Heart_9449 (+178194)
Csl	H3K4me3Heart_12114 (+137412), H3K4me3Heart_12110 (+474917)
Csnk1a1	H3K4me3Heart_19239 (+96432)
Csnk1g3	H3K4me3Heart_19188 (+620714)
Cspp1	H3K4me3Heart_30 (+1736)
Csrnp1	H3K4me3Heart_11212 (+13982)
Csrp2	H3K4me3Heart_12143 (+66634)
Csrp3	H3K4me3Heart_8224 (-4310)
Cstad	H3K4me3Heart_1472 (+5522), H3K4me3Heart_1473 (+10355), H3K4me3Heart_1475 (+57571), H3K4me3Heart_1482 (+130855)
Cstf3	H3K4me3Heart_2047 (-17582)
Ctbp1	H3K4me3Heart_5450 (+40374)
Ctbp2	H3K4me3Heart_8890 (-106681)
Ctcfl	H3K4me3Heart_2768 (+31717)
Ctdspl	H3K4me3Heart_11197 (+75907)
Ctif	H3K4me3Heart_19361 (+319159)
Ctnna1	H3K4me3Heart_19013 (-84719)
Ctnna3	H3K4me3Heart_11688 (+27598), H3K4me3Heart_11689 (+456658)
Ctnnal1	H3K4me3Heart_4235 (-79531), H3K4me3Heart_4234 (-75674)
Ctnnb1	H3K4me3Heart_11229 (-313478), H3K4me3Heart_11233 (-63550)
Ctnnd1	H3K4me3Heart_1908 (+15377), H3K4me3Heart_1907 (+93207)
Ctps	H3K4me3Heart_4606 (+2165)
Ctsh	H3K4me3Heart_10892 (-143144)
Ctso	H3K4me3Heart_3206 (-96967)
Cttnbp2	H3K4me3Heart_6634 (-33285)
Cttnbp2nl	H3K4me3Heart_3571 (-1836)
Cuedc1	H3K4me3Heart_13311 (+70810), H3K4me3Heart_13312 (+94556)
Cux1	H3K4me3Heart_6334 (-52579)
Cux2	H3K4me3Heart_6138 (-43952), H3K4me3Heart_6137 (-9818)
Cwc22	H3K4me3Heart_1884 (-102873)
Cxcl12	H3K4me3Heart_7303 (-187920)
Cxcl9	H3K4me3Heart_5772 (-4601)
Cxcr4	H3K4me3Heart_641 (+135111)
Cxcr5	H3K4me3Heart_10441 (-72730)
Cxxc4	H3K4me3Heart_3774 (-478354), H3K4me3Heart_3777 (-36648)
Cxxc5	H3K4me3Heart_19032 (+83352)
Cybrd1	H3K4me3Heart_1790 (+42351)
Cylc1	H3K4me3Heart_20605 (-293532)
Cyp26a1	H3K4me3Heart_19861 (+116792), H3K4me3Heart_19862 (+180151)
Cyp26b1	H3K4me3Heart_7046 (+14239)
Cyp27b1	H3K4me3Heart_12282 (+1074)
Cyp39a1	H3K4me3Heart_18427 (+2193)
Cyp46a1	H3K4me3Heart_14650 (+36891)
D16Ertd472e	H3K4me3Heart_17749 (+148857)
D17Wsu92e	H3K4me3Heart_18169 (+23110)
D1Ertd622e	H3K4me3Heart_564 (-98625)
D1Pas1	H3K4me3Heart_1133 (+393)
D430041D05Rik	H3K4me3Heart_2045 (-234174)
D430042O09Rik	H3K4me3Heart_8756 (+121927), H3K4me3Heart_8757 (+225825)
D630023F18Rik	H3K4me3Heart_318 (+10071)
Daam1	H3K4me3Heart_14337 (-52744), H3K4me3Heart_14339 (+3205)
Dab2ip	H3K4me3Heart_1607 (+70400)
Dact1	H3K4me3Heart_14337 (+468450)
Dap3	H3K4me3Heart_3310 (-460)
Dapk3	H3K4me3Heart_11923 (+10947)
Dapl1	H3K4me3Heart_1708 (-46328)
Dapp1	H3K4me3Heart_3805 (-19669)
Dars	H3K4me3Heart_641 (-39763)
Daw1	H3K4me3Heart_452 (+186069)
Dazap2	H3K4me3Heart_17137 (+572)
Dcaf4	H3K4me3Heart_14457 (-95731)
Dcbld2	H3K4me3Heart_17698 (+104097)
Dchs1	H3K4me3Heart_8608 (+25355)
Dclre1a	H3K4me3Heart_20090 (+73073)
Dcn	H3K4me3Heart_12099 (-443749)
Dcp1a	H3K4me3Heart_15799 (-73536), H3K4me3Heart_15801;H3K4me3Heart_15802 (+10667)
Dcp1b	H3K4me3Heart_7321 (+16782), H3K4me3Heart_7322 (+19424)
Dcp2	H3K4me3Heart_19140 (+118173)
Dctd	H3K4me3Heart_9367 (+54810), H3K4me3Heart_9372 (+412203)
Dctn6	H3K4me3Heart_9255 (+82463)
Ddc	H3K4me3Heart_12469 (-133670), H3K4me3Heart_12468 (+9248), H3K4me3Heart_12467 (+10853)
Ddias	H3K4me3Heart_8488 (-2879)
Ddit3	H3K4me3Heart_12301 (+2300)
Ddit4	H3K4me3Heart_11628 (-13118), H3K4me3Heart_11623 (+42246)
Ddo	H3K4me3Heart_11497 (+446)
Ddx20	H3K4me3Heart_3576 (-8122)
Ddx25	H3K4me3Heart_10343 (+48), H3K4me3Heart_10342 (+133758)
Ddx54	H3K4me3Heart_6112 (+18275)
Ddx6	H3K4me3Heart_10441 (-5741)
Ddx60	H3K4me3Heart_9420 (-30385), H3K4me3Heart_9421 (-26582), H3K4me3Heart_9422 (-25480)
Def6	H3K4me3Heart_18179 (-27996)
Def8	H3K4me3Heart_10089 (-20543)
Defb7	H3K4me3Heart_9142 (+40352)
Dek	H3K4me3Heart_15118 (+1724)
Dennd1b	H3K4me3Heart_770 (-55215)
Des	H3K4me3Heart_410 (+9365)
Dexi	H3K4me3Heart_17294 (+53044)
Dgkg	H3K4me3Heart_17455 (-109737)
Dgki	H3K4me3Heart_6738 (+202788)
Dgkk	H3K4me3Heart_20143 (-201884)
Dgkz	H3K4me3Heart_1967 (-6735)
Dguok	H3K4me3Heart_7032 (+49996)
Dhx9	H3K4me3Heart_809 (-44866)
Diaph1	H3K4me3Heart_19088 (+112955), H3K4me3Heart_19078 (+204304), H3K4me3Heart_19076 (+214892)
Dicer1	H3K4me3Heart_14618 (+114119)
Dip2b	H3K4me3Heart_17125 (+69795), H3K4me3Heart_17126 (+160902)
Dip2c	H3K4me3Heart_14784 (-148838), H3K4me3Heart_14785 (-85473), H3K4me3Heart_14787 (+110727)
Dirc2	H3K4me3Heart_17578 (+181199)
Disc1	H3K4me3Heart_10120 (+132873), H3K4me3Heart_10123 (+273921)
Disp2	H3K4me3Heart_2142 (+11274)
Dixdc1	H3K4me3Heart_10504 (+4706)
Dlat	H3K4me3Heart_10504 (-63489)
Dlc1	H3K4me3Heart_9295 (+158589), H3K4me3Heart_9294 (+192474), H3K4me3Heart_9291 (+329980)
Dlg3	H3K4me3Heart_20529 (-26519), H3K4me3Heart_20533 (+11347)
Dlgap1	H3K4me3Heart_18666 (+136826)
Dlgap2	H3K4me3Heart_9129 (+587854)
Dlk1	H3K4me3Heart_14665 (+6892)
Dll4	H3K4me3Heart_2164 (+6691)
Dlst	H3K4me3Heart_14492 (-4384)
Dlx3	H3K4me3Heart_13381 (+1585)
Dlx4	H3K4me3Heart_13384 (-85721), H3K4me3Heart_13381 (+24589)
Dmpk	H3K4me3Heart_7764 (+205)
Dmrt1	H3K4me3Heart_19752 (-196812), H3K4me3Heart_19753 (-161473), H3K4me3Heart_19755 (-120545), H3K4me3Heart_19756 (-119396), H3K4me3Heart_19760 (+70014)
Dmrt2	H3K4me3Heart_19764 (-6203)
Dmrt3	H3K4me3Heart_19760 (-34905), H3K4me3Heart_19764 (+55677)
Dmrta2	H3K4me3Heart_4494 (+4444)
Dnah2	H3K4me3Heart_12979 (+96618)
Dnah5	H3K4me3Heart_16481 (-132534)
Dnah8	H3K4me3Heart_18234 (+250434)
Dnajb12	H3K4me3Heart_11623 (+29949)
Dnajb5	H3K4me3Heart_4107 (-16200), H3K4me3Heart_4109 (+3546)
Dnajc1	H3K4me3Heart_1292 (-61182)
Dnajc24	H3K4me3Heart_2070 (-679877), H3K4me3Heart_2068 (-428033)
Dnase1l2	H3K4me3Heart_18056 (+13515)
Dnd1	H3K4me3Heart_19057 (+998)
Dnm1l	H3K4me3Heart_17344 (-167861)
Dnm3	H3K4me3Heart_884 (+164402), H3K4me3Heart_883 (+257255), H3K4me3Heart_881 (+357417)
Dnmbp	H3K4me3Heart_19928 (+17907)
Doc2g	H3K4me3Heart_19458 (+213)
Dpf3	H3K4me3Heart_14457 (-313803)
Dpt	H3K4me3Heart_903 (+281)
Dpy19l2	H3K4me3Heart_10286 (-72044), H3K4me3Heart_10285 (-70449), H3K4me3Heart_10284 (-69414)
Dpy19l3	H3K4me3Heart_8050 (+67242)
Dpyd	H3K4me3Heart_3666 (+936819)
Dqx1	H3K4me3Heart_7012 (+11197)
Drd3	H3K4me3Heart_17633 (-53140)
Dsg2	H3K4me3Heart_18925 (-4804)
Dsn1	H3K4me3Heart_2571 (-51575)
Dsp	H3K4me3Heart_15048 (+19608)
Dst	H3K4me3Heart_101 (-66553)
Dtwd2	H3K4me3Heart_19165 (+43392)
Dusp10	H3K4me3Heart_1110 (+641459), H3K4me3Heart_1111 (+684241)
Dusp4	H3K4me3Heart_9264 (-506739)
Dusp6	H3K4me3Heart_12107 (-91025), H3K4me3Heart_12110 (+21510), H3K4me3Heart_12114 (+359015)
Duxbl3	H3K4me3Heart_15771;H3K4me3Heart_15772 (+178735), H3K4me3Heart_15773 (+180379), H3K4me3Heart_15774 (+188075)
Dync1i1	H3K4me3Heart_6585 (-84566)
Dync1i2	H3K4me3Heart_1790 (-51432)
Dynll2	H3K4me3Heart_13305 (-22657)
Dyrk1a	H3K4me3Heart_17849 (+152353)
Dysf	H3K4me3Heart_7046 (+555010)
Dzip1l	H3K4me3Heart_10957 (+52875)
E130114P18Rik	H3K4me3Heart_4384 (-142569)
Ebf1	H3K4me3Heart_12655 (+79553)
Ebf3	H3K4me3Heart_8907 (+4483)
Ebpl	H3K4me3Heart_16085 (+29141)
Ece1	H3K4me3Heart_4967 (+58950)
Ecel1	H3K4me3Heart_480 (+1632)
Eci1	H3K4me3Heart_18056 (+2907)
Eci2	H3K4me3Heart_15023 (-389864)
Edem3	H3K4me3Heart_793 (-78098), H3K4me3Heart_795 (+192409)
Ednra	H3K4me3Heart_9591 (-372632)
Ednrb	H3K4me3Heart_16311 (-621878), H3K4me3Heart_16308 (+3882), H3K4me3Heart_16306 (+164151)
Eea1	H3K4me3Heart_12095 (+430605)
Eed	H3K4me3Heart_8464 (+1716)
Eef1a1	H3K4me3Heart_10831 (+2017)
Eef2kmt	H3K4me3Heart_17269 (-175613)
Efcab1	H3K4me3Heart_17334 (+146585)
Efcab10	H3K4me3Heart_14166 (-80445)
Efcab11	H3K4me3Heart_14573 (+313103)
Efcab2	H3K4me3Heart_1049 (+81118)
Efna1	H3K4me3Heart_3330 (-40194)
Efna3	H3K4me3Heart_3330 (+3126)
Efna5	H3K4me3Heart_18622 (-611846), H3K4me3Heart_18618 (+18621)
Efnb2	H3K4me3Heart_9071 (+219504)
Egfl6	H3K4me3Heart_20794 (-60150)
Egflam	H3K4me3Heart_16408 (+174994)
Egln1	H3K4me3Heart_10116 (-42138)
Egln3	H3K4me3Heart_14242 (-201564)
Egr2	H3K4me3Heart_11702 (-217436)
Ehbp1	H3K4me3Heart_12524 (+114552), H3K4me3Heart_12523 (+277518)
Ehd2	H3K4me3Heart_7707 (+3195)
Ehd4	H3K4me3Heart_2183 (+1563)
Eif1a	H3K4me3Heart_19156 (+39165)
Eif2ak2	H3K4me3Heart_18721 (-13156)
Eif2d	H3K4me3Heart_654 (+80421)
Eif2s2	H3K4me3Heart_2526 (-50235)
Eif3f	H3K4me3Heart_8618 (-4515)
Eif3j2	H3K4me3Heart_19137 (-104362)
Eif4e3	H3K4me3Heart_7201 (+181574), H3K4me3Heart_7199 (+460647)
Eif4ebp1	H3K4me3Heart_9226 (+3388), H3K4me3Heart_9227 (+12383)
Eif4g3	H3K4me3Heart_4967 (-71835)
Elac2	H3K4me3Heart_12914 (-21914), H3K4me3Heart_12916 (+146038)
Elavl4	H3K4me3Heart_4494 (+304392)
Elf4	H3K4me3Heart_20321 (+53556)
Elfn2	H3K4me3Heart_16787 (-53417)
Elk3	H3K4me3Heart_12057 (+4464), H3K4me3Heart_12055 (+49514)
Elp4	H3K4me3Heart_2064 (+216250)
Emc10	H3K4me3Heart_8115 (+13931), H3K4me3Heart_8114 (+16692), H3K4me3Heart_8113 (+22021)
Emcn	H3K4me3Heart_3795 (-615454), H3K4me3Heart_3797 (+1674)
Emilin2	H3K4me3Heart_18685 (-21655)
Eml1	H3K4me3Heart_14650 (-51548), H3K4me3Heart_14652 (+80711)
Eml4	H3K4me3Heart_18761 (-129845), H3K4me3Heart_18764 (-62597)
Emsy	H3K4me3Heart_8520 (-21773)
Enc1	H3K4me3Heart_15514 (+3433), H3K4me3Heart_15516 (+149627), H3K4me3Heart_15518 (+197863)
Eno4	H3K4me3Heart_20112 (-24549)
Enoph1	H3K4me3Heart_5817 (-3198)
Enpep	H3K4me3Heart_3735 (+107904), H3K4me3Heart_3734 (+111473)
Entpd5	H3K4me3Heart_14481 (+18550)
Eomes	H3K4me3Heart_11190 (-24580)
Epas1	H3K4me3Heart_18798 (-217481)
Epb41	H3K4me3Heart_4800 (-1800)
Epb41l2	H3K4me3Heart_11432 (+72794)
Epb41l3	H3K4me3Heart_18655 (-51104), H3K4me3Heart_18658 (+24720), H3K4me3Heart_18659 (+40226)
Epb41l4a	H3K4me3Heart_18990 (-111596)
Epb41l4b	H3K4me3Heart_4239 (-156792)
Epc1	H3K4me3Heart_18863 (-23174)
Epcam	H3K4me3Heart_18813 (-64358)
Epha2	H3K4me3Heart_5024 (-41064)
Epha4	H3K4me3Heart_423 (+18113), H3K4me3Heart_422 (+301532)
Ephb2	H3K4me3Heart_4945 (+80197)
Eps8	H3K4me3Heart_7511 (+193102), H3K4me3Heart_7510 (+238283)
Eqtn	H3K4me3Heart_4370 (+187359)
Erap1	H3K4me3Heart_15401 (-48336)
Erbb3	H3K4me3Heart_12348 (+5972)
Erbb4	H3K4me3Heart_330 (+21682)
Ercc4	H3K4me3Heart_17310 (-48155)
Erg28	H3K4me3Heart_14512 (+5743)
Ergic1	H3K4me3Heart_18134 (+23498)
Erp27	H3K4me3Heart_7505 (-8643)
Esm1	H3K4me3Heart_15644 (+14494)
Espn	H3K4me3Heart_5162 (+31122)
Esr1	H3K4me3Heart_11288 (+456839)
Esr2	H3K4me3Heart_14386 (+323378), H3K4me3Heart_14385 (+340234)
Esrrb	H3K4me3Heart_14520 (-60114)
Esrrg	H3K4me3Heart_1139 (-86774), H3K4me3Heart_1144 (+4776), H3K4me3Heart_1145 (+9846), H3K4me3Heart_1146 (+58194)
Etaa1	H3K4me3Heart_12486 (-57604), H3K4me3Heart_12484 (+492852)
Etnk1	H3K4me3Heart_7541 (+159982)
Etnppl	H3K4me3Heart_3749 (-279444)
Ets1	H3K4me3Heart_10327 (-49697), H3K4me3Heart_10331 (+5291)
Etv2	H3K4me3Heart_8010 (+915)
Etv4	H3K4me3Heart_13600 (-35752), H3K4me3Heart_13599 (-5826)
Etv5	H3K4me3Heart_17451 (+10493), H3K4me3Heart_17450 (+80850)
Etv6	H3K4me3Heart_7469 (+146589)
Evi5l	H3K4me3Heart_9057 (+40006)
Evl	H3K4me3Heart_14652 (-51193)
Evx1	H3K4me3Heart_6876 (+3200)
Exo1	H3K4me3Heart_1027 (+55701)
Exo5	H3K4me3Heart_4619 (-24967)
Exoc3l2	H3K4me3Heart_7801 (+749), H3K4me3Heart_7802 (+3010)
Exosc9	H3K4me3Heart_2991 (-70532)
Ext2	H3K4me3Heart_1999 (+126425)
Eya2	H3K4me3Heart_2671 (+202725)
Eya4	H3K4me3Heart_11419 (-337290), H3K4me3Heart_11416 (+505798)
Ezh2	H3K4me3Heart_6791 (-153467)
F11r	H3K4me3Heart_989 (+4912)
F9	H3K4me3Heart_20383 (-414063)
Faap20	H3K4me3Heart_5206 (-14337)
Fabp4	H3K4me3Heart_2885;H3K4me3Heart_2886 (+570), H3K4me3Heart_2884 (+2451)
Fabp9	H3K4me3Heart_2884 (-8903)
Fam102b	H3K4me3Heart_3626 (+1736)
Fam107b	H3K4me3Heart_1210 (+589358), H3K4me3Heart_1212 (+679918)
Fam126a	H3K4me3Heart_5328 (+155842)
Fam129a	H3K4me3Heart_793 (+105903)
Fam135a	H3K4me3Heart_85 (-7269)
Fam136a	H3K4me3Heart_7070 (-156073)
Fam161b	H3K4me3Heart_14481 (-20551)
Fam166b	H3K4me3Heart_4120 (+29646)
Fam184a	H3K4me3Heart_11589 (+115225)
Fam189a2	H3K4me3Heart_19736 (-15892)
Fam209	H3K4me3Heart_2758 (+5144)
Fam20a	H3K4me3Heart_13752 (+68782)
Fam20b	H3K4me3Heart_850 (-60343)
Fam210a	H3K4me3Heart_19308 (+241109)
Fam212b	H3K4me3Heart_3576 (-8903)
Fam216b	H3K4me3Heart_16252 (-127572)
Fam222b	H3K4me3Heart_13158 (+2312)
Fam35a	H3K4me3Heart_15850 (-2025)
Fam46a	H3K4me3Heart_10863 (+790)
Fam49a	H3K4me3Heart_14058 (+139431), H3K4me3Heart_14062 (+548242)
Fam53a	H3K4me3Heart_5457 (+94476)
Fam76a	H3K4me3Heart_4828 (-27656)
Fam78a	H3K4me3Heart_1519 (-4932)
Fam83h	H3K4me3Heart_16707 (+11667)
Fam90a1b	H3K4me3Heart_20492 (+517)
Fam92a	H3K4me3Heart_3979 (-483291)
Fam92b	H3K4me3Heart_10026 (-87458), H3K4me3Heart_10023 (-1754)
Fancc	H3K4me3Heart_15297 (+187874)
Fancl	H3K4me3Heart_12555 (-536813)
Far2	H3K4me3Heart_7574 (-541177)
Fat1	H3K4me3Heart_9319 (-255697), H3K4me3Heart_9322 (+48703)
Fbln1	H3K4me3Heart_16936 (+92103)
Fbln5	H3K4me3Heart_14592 (+1796)
Fbp1	H3K4me3Heart_15297 (-355516)
Fbxl17	H3K4me3Heart_18622 (+6854)
Fbxo11	H3K4me3Heart_18826 (-339944), H3K4me3Heart_18823 (-297)
Fbxo40	H3K4me3Heart_17591 (+329)
Fbxo47	H3K4me3Heart_13473 (+79140)
Fbxo8	H3K4me3Heart_9388 (+69784)
Fbxw10	H3K4me3Heart_12900 (-25073)
Fbxw21	H3K4me3Heart_11114 (+62730)
Fchsd1	H3K4me3Heart_19096 (-25062)
Fchsd2	H3K4me3Heart_8562 (-47065)
Fezf2	H3K4me3Heart_15689 (-617)
Fgd2	H3K4me3Heart_18216 (+97201)
Fgd4	H3K4me3Heart_17344 (+33328)
Fgf1	H3K4me3Heart_19118 (-10349), H3K4me3Heart_19117 (+268)
Fgf13	H3K4me3Heart_20383 (-450965)
Fgf18	H3K4me3Heart_12602 (+47143)
Fgf5	H3K4me3Heart_5803 (-64391)
Fgf8	H3K4me3Heart_19986 (-2767)
Fgfr1	H3K4me3Heart_9190 (-293761)
Fgfr2	H3K4me3Heart_8861 (+3674), H3K4me3Heart_8860 (+83503)
Fgfrl1	H3K4me3Heart_5909 (-1885)
